STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TMIN,TMAX,PRCP,SNOW
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,6/24/50,51,72,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,6/25/50,40,79,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,6/26/50,45,82,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,6/27/50,43,86,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,6/28/50,50,89,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,6/29/50,48,92,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,6/30/50,47,91,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,7/1/50,51,86,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,7/2/50,51,88,0.25,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,7/3/50,53,84,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,7/4/50,47,82,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,7/5/50,50,79,0.41,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,7/6/50,55,73,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,7/7/50,55,69,0.21,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,7/8/50,54,66,0.2,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,7/9/50,49,74,0.06,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,7/10/50,50,76,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,7/11/50,52,81,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,7/12/50,45,85,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,7/13/50,48,88,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,7/14/50,54,87,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,7/15/50,50,84,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,7/16/50,51,80,0.45,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,7/17/50,51,72,0.93,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,7/18/50,51,71,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,7/19/50,54,75,0.03,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,7/20/50,51,78,0.15,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,7/21/50,53,79,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,7/22/50,51,75,0.02,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,7/23/50,50,77,0.09,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,7/24/50,54,73,0.02,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,7/25/50,50,75,0.18,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,7/26/50,46,72,0.17,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,7/27/50,48,77,0.03,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,7/28/50,48,77,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,7/29/50,51,78,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,7/30/50,51,75,0.22,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,7/31/50,50,69,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,8/1/50,47,75,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,8/2/50,45,79,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,8/3/50,46,81,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,8/4/50,43,77,0.04,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,8/5/50,50,72,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,8/6/50,45,74,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,8/7/50,43,79,0,0
